Player,Opposition,Ground,Inns,Overs,Wkts
Ahmed Shehzad,v Sri Lanka,Dubai (DSC),1,DNB,-
Umar Amin,v Sri Lanka,Dubai (DSC),1,DNB,-
Umar Akmal,v Sri Lanka,Dubai (DSC),1,DNB,-
Sohaib Maqsood,v Sri Lanka,Dubai (DSC),1,DNB,-
Sharjeel Khan,v Sri Lanka,Dubai (DSC),1,DNB,-
Ahmed Shehzad,v Sri Lanka,Dubai (DSC),1,DNB,-
Umar Amin,v Sri Lanka,Dubai (DSC),1,DNB,-
Umar Akmal,v Sri Lanka,Dubai (DSC),1,DNB,-
Sohaib Maqsood,v Sri Lanka,Dubai (DSC),1,DNB,-
Sohaib Maqsood,v India,Mirpur,2,DNB,-
Shoaib Malik,v India,Mirpur,2,DNB,-
Ahmed Shehzad,v India,Mirpur,2,DNB,-
Kamran Akmal,v India,Mirpur,2,DNB,-
Umar Akmal,v India,Mirpur,2,DNB,-
Shoaib Malik,v Australia,Mirpur,2,DNB,-
Sohaib Maqsood,v Australia,Mirpur,2,DNB,-
Kamran Akmal,v Australia,Mirpur,2,DNB,-
Ahmed Shehzad,v Australia,Mirpur,2,DNB,-
Umar Akmal,v Australia,Mirpur,2,DNB,-
Ahmed Shehzad,v Bangladesh,Mirpur,2,DNB,-
Umar Akmal,v Bangladesh,Mirpur,2,DNB,-
Shoaib Malik,v Bangladesh,Mirpur,2,DNB,-
Sohaib Maqsood,v Bangladesh,Mirpur,2,DNB,-
Kamran Akmal,v Bangladesh,Mirpur,2,DNB,-
Ahmed Shehzad,v West Indies,Mirpur,1,DNB,-
Umar Akmal,v West Indies,Mirpur,1,DNB,-
Shoaib Malik,v West Indies,Mirpur,1,DNB,-
Sohaib Maqsood,v West Indies,Mirpur,1,DNB,-
Kamran Akmal,v West Indies,Mirpur,1,DNB,-
Anwar Ali,v Australia,Dubai (DSC),2,DNB,-
Ahmed Shehzad,v Australia,Dubai (DSC),2,DNB,-
Awais Zia,v Australia,Dubai (DSC),2,DNB,-
Umar Amin,v Australia,Dubai (DSC),2,DNB,-
Umar Akmal,v Australia,Dubai (DSC),2,DNB,-
Haris Sohail,v New Zealand,Dubai (DSC),1,DNB,-
Sarfaraz Ahmed,v New Zealand,Dubai (DSC),1,DNB,-
Awais Zia,v New Zealand,Dubai (DSC),1,DNB,-
Saad Nasim,v New Zealand,Dubai (DSC),1,DNB,-
Umar Akmal,v New Zealand,Dubai (DSC),1,DNB,-
Umar Akmal,v New Zealand,Dubai (DSC),1,DNB,-
Haris Sohail,v New Zealand,Dubai (DSC),1,DNB,-
Sarfaraz Ahmed,v New Zealand,Dubai (DSC),1,DNB,-
Ahmed Shehzad,v New Zealand,Dubai (DSC),1,DNB,-
Saad Nasim,v New Zealand,Dubai (DSC),1,DNB,-
Haris Sohail,v Bangladesh,Mirpur,2,DNB,-
Mohammad Rizwan,v Bangladesh,Mirpur,2,DNB,-
Mukhtar Ahmed,v Bangladesh,Mirpur,2,DNB,-
Sarfaraz Ahmed,v Bangladesh,Mirpur,2,DNB,-
Ahmed Shehzad,v Bangladesh,Mirpur,2,DNB,-
Ahmed Shehzad,v Zimbabwe,Lahore,1,DNB,-
Umar Akmal,v Zimbabwe,Lahore,1,DNB,-
Mohammad Hafeez,v Zimbabwe,Lahore,1,DNB,-
Mukhtar Ahmed,v Zimbabwe,Lahore,1,DNB,-
Sarfaraz Ahmed,v Zimbabwe,Lahore,1,DNB,-
Mohammad Rizwan,v Zimbabwe,Lahore,1,DNB,-
Mukhtar Ahmed,v Zimbabwe,Lahore,1,DNB,-
Nauman Anwar,v Zimbabwe,Lahore,1,DNB,-
Ahmed Shehzad,v Zimbabwe,Lahore,1,DNB,-
Umar Akmal,v Zimbabwe,Lahore,1,DNB,-
Umar Akmal,v Sri Lanka,Colombo (RPS),2,DNB,-
Mukhtar Ahmed,v Sri Lanka,Colombo (RPS),2,DNB,-
Mohammad Hafeez,v Sri Lanka,Colombo (RPS),2,DNB,-
Mohammad Rizwan,v Sri Lanka,Colombo (RPS),2,DNB,-
Ahmed Shehzad,v Sri Lanka,Colombo (RPS),2,DNB,-
Mukhtar Ahmed,v Sri Lanka,Colombo (RPS),1,DNB,-
Ahmed Shehzad,v Sri Lanka,Colombo (RPS),1,DNB,-
Umar Akmal,v Sri Lanka,Colombo (RPS),1,DNB,-
Mohammad Hafeez,v Sri Lanka,Colombo (RPS),1,DNB,-
Mohammad Rizwan,v Sri Lanka,Colombo (RPS),1,DNB,-
Mukhtar Ahmed,v Zimbabwe,Harare,2,DNB,-
Ahmed Shehzad,v Zimbabwe,Harare,2,DNB,-
Umar Akmal,v Zimbabwe,Harare,2,DNB,-
Mohammad Rizwan,v Zimbabwe,Harare,2,DNB,-
Sohaib Maqsood,v Zimbabwe,Harare,2,DNB,-
Sohaib Maqsood,v Zimbabwe,Harare,2,DNB,-
Ahmed Shehzad,v Zimbabwe,Harare,2,DNB,-
Shoaib Malik,v Zimbabwe,Harare,2,DNB,-
Umar Akmal,v Zimbabwe,Harare,2,DNB,-
Mohammad Hafeez,v Zimbabwe,Harare,2,DNB,-
Mohammad Rizwan,v Zimbabwe,Harare,2,DNB,-
Umar Akmal,v England,Dubai (DSC),1,DNB,-
Mohammad Rizwan,v England,Dubai (DSC),1,DNB,-
Sohaib Maqsood,v England,Dubai (DSC),1,DNB,-
Sarfaraz Ahmed,v England,Dubai (DSC),1,DNB,-
Mohammad Hafeez,v England,Dubai (DSC),1,DNB,-
Rafatullah Mohmand,v England,Dubai (DSC),1,DNB,-
Rafatullah Mohmand,v England,Dubai (DSC),1,DNB,-
Umar Akmal,v England,Dubai (DSC),1,DNB,-
Sohaib Maqsood,v England,Dubai (DSC),1,DNB,-
Sarfaraz Ahmed,v England,Dubai (DSC),1,DNB,-
Mohammad Hafeez,v England,Dubai (DSC),1,DNB,-
Mohammad Hafeez,v England,Sharjah,1,DNB,-
Mohammad Rizwan,v England,Sharjah,1,DNB,-
Rafatullah Mohmand,v England,Sharjah,1,DNB,-
Ahmed Shehzad,v England,Sharjah,1,DNB,-
Umar Akmal,v England,Sharjah,1,DNB,-
Sarfaraz Ahmed,v New Zealand,Auckland,2,DNB,-
Mohammad Hafeez,v New Zealand,Auckland,2,DNB,-
Ahmed Shehzad,v New Zealand,Auckland,2,DNB,-
Umar Akmal,v New Zealand,Auckland,2,DNB,-
Sohaib Maqsood,v New Zealand,Auckland,2,DNB,-
Shoaib Malik,v New Zealand,Auckland,2,DNB,-
Sarfaraz Ahmed,v New Zealand,Hamilton,2,DNB,-
Mohammad Hafeez,v New Zealand,Hamilton,2,DNB,-
Ahmed Shehzad,v New Zealand,Hamilton,2,DNB,-
Umar Akmal,v New Zealand,Hamilton,2,DNB,-
Sohaib Maqsood,v New Zealand,Hamilton,2,DNB,-
Ahmed Shehzad,v New Zealand,Wellington,1,DNB,-
Mohammad Hafeez,v New Zealand,Wellington,1,DNB,-
Umar Akmal,v New Zealand,Wellington,1,DNB,-
Mohammad Rizwan,v New Zealand,Wellington,1,DNB,-
Sarfaraz Ahmed,v New Zealand,Wellington,1,DNB,-
Sarfaraz Ahmed,v India,Mirpur,2,DNB,-
Shoaib Malik,v India,Mirpur,2,DNB,-
Sharjeel Khan,v India,Mirpur,2,DNB,-
Mohammad Hafeez,v India,Mirpur,2,DNB,-
Umar Akmal,v India,Mirpur,2,DNB,-
Khurram Manzoor,v India,Mirpur,2,DNB,-
Shahid Afridi,v India,Mirpur,2,DNB,-
Sharjeel Khan,v U.A.E.,Mirpur,1,DNB,-
Umar Akmal,v U.A.E.,Mirpur,1,DNB,-
Mohammad Hafeez,v U.A.E.,Mirpur,1,DNB,-
Khurram Manzoor,v U.A.E.,Mirpur,1,DNB,-
Sarfaraz Ahmed,v U.A.E.,Mirpur,1,DNB,-
Sharjeel Khan,v Bangladesh,Mirpur,2,DNB,-
Mohammad Hafeez,v Bangladesh,Mirpur,2,DNB,-
Umar Akmal,v Bangladesh,Mirpur,2,DNB,-
Khurram Manzoor,v Bangladesh,Mirpur,2,DNB,-
Sarfaraz Ahmed,v Bangladesh,Mirpur,2,DNB,-
Sharjeel Khan,v Sri Lanka,Mirpur,1,DNB,-
Umar Akmal,v Sri Lanka,Mirpur,1,DNB,-
Mohammad Hafeez,v Sri Lanka,Mirpur,1,DNB,-
Sarfaraz Ahmed,v Sri Lanka,Mirpur,1,DNB,-
Iftikhar Ahmed,v Sri Lanka,Mirpur,1,DNB,-
Sarfaraz Ahmed,v Bangladesh,Eden Gardens,2,DNB,-
Sharjeel Khan,v Bangladesh,Eden Gardens,2,DNB,-
Ahmed Shehzad,v Bangladesh,Eden Gardens,2,DNB,-
Mohammad Hafeez,v Bangladesh,Eden Gardens,2,DNB,-
Umar Akmal,v Bangladesh,Eden Gardens,2,DNB,-
Sarfaraz Ahmed,v India,Eden Gardens,2,DNB,-
Umar Akmal,v India,Eden Gardens,2,DNB,-
Sharjeel Khan,v India,Eden Gardens,2,DNB,-
Ahmed Shehzad,v India,Eden Gardens,2,DNB,-
Mohammad Hafeez,v India,Eden Gardens,2,DNB,-
Ahmed Shehzad,v New Zealand,Mohali,1,DNB,-
Khalid Latif,v New Zealand,Mohali,1,DNB,-
Umar Akmal,v New Zealand,Mohali,1,DNB,-
Sarfaraz Ahmed,v New Zealand,Mohali,1,DNB,-
Sharjeel Khan,v New Zealand,Mohali,1,DNB,-
Shoaib Malik,v New Zealand,Mohali,1,DNB,-
Sharjeel Khan,v Australia,Mohali,1,DNB,-
Ahmed Shehzad,v Australia,Mohali,1,DNB,-
Khalid Latif,v Australia,Mohali,1,DNB,-
Umar Akmal,v Australia,Mohali,1,DNB,-
Sarfaraz Ahmed,v Australia,Mohali,1,DNB,-
Shoaib Malik,v Australia,Mohali,1,DNB,-
Khalid Latif,v England,Manchester,1,DNB,-
Mohammad Rizwan,v England,Manchester,1,DNB,-
Babar Azam,v England,Manchester,1,DNB,-
Sarfaraz Ahmed,v England,Manchester,1,DNB,-
Shoaib Malik,v England,Manchester,1,DNB,-
Sharjeel Khan,v England,Manchester,1,DNB,-
Sharjeel Khan,v West Indies,Dubai (DSC),1,DNB,-
Khalid Latif,v West Indies,Dubai (DSC),1,DNB,-
Umar Akmal,v West Indies,Dubai (DSC),1,DNB,-
Babar Azam,v West Indies,Dubai (DSC),1,DNB,-
Sarfaraz Ahmed,v West Indies,Dubai (DSC),1,DNB,-
Sharjeel Khan,v West Indies,Dubai (DSC),2,DNB,-
Khalid Latif,v West Indies,Dubai (DSC),2,DNB,-
Umar Akmal,v West Indies,Dubai (DSC),2,DNB,-
Babar Azam,v West Indies,Dubai (DSC),2,DNB,-
Sarfaraz Ahmed,v West Indies,Dubai (DSC),2,DNB,-
Khalid Latif,v West Indies,Abu Dhabi,1,DNB,-
Umar Akmal,v West Indies,Abu Dhabi,1,DNB,-
Babar Azam,v West Indies,Abu Dhabi,1,DNB,-
Sarfaraz Ahmed,v West Indies,Abu Dhabi,1,DNB,-
Sharjeel Khan,v West Indies,Abu Dhabi,1,DNB,-
Shoaib Malik,v West Indies,Bridgetown,1,DNB,-
Sarfaraz Ahmed,v West Indies,Bridgetown,1,DNB,-
Kamran Akmal,v West Indies,Bridgetown,1,DNB,-
Ahmed Shehzad,v West Indies,Bridgetown,1,DNB,-
Babar Azam,v West Indies,Bridgetown,1,DNB,-
Sarfaraz Ahmed,v West Indies,Port of Spain,2,DNB,-
Shoaib Malik,v West Indies,Port of Spain,2,DNB,-
Ahmed Shehzad,v West Indies,Port of Spain,2,DNB,-
Kamran Akmal,v West Indies,Port of Spain,2,DNB,-
Babar Azam,v West Indies,Port of Spain,2,DNB,-
Fakhar Zaman,v West Indies,Port of Spain,2,DNB,-
Sarfaraz Ahmed,v West Indies,Port of Spain,2,DNB,-
Ahmed Shehzad,v West Indies,Port of Spain,2,DNB,-
Kamran Akmal,v West Indies,Port of Spain,2,DNB,-
Babar Azam,v West Indies,Port of Spain,2,DNB,-
Fakhar Zaman,v West Indies,Port of Spain,2,DNB,-
Sarfaraz Ahmed,v West Indies,Port of Spain,1,DNB,-
Ahmed Shehzad,v West Indies,Port of Spain,1,DNB,-
Shoaib Malik,v West Indies,Port of Spain,1,DNB,-
Babar Azam,v West Indies,Port of Spain,1,DNB,-
Kamran Akmal,v West Indies,Port of Spain,1,DNB,-
Fakhar Zaman,v West Indies,Port of Spain,1,DNB,-
Babar Azam,v World-XI,Lahore,2,DNB,-
Shoaib Malik,v World-XI,Lahore,2,DNB,-
Fakhar Zaman,v World-XI,Lahore,2,DNB,-
Sarfaraz Ahmed,v World-XI,Lahore,2,DNB,-
Ahmed Shehzad,v World-XI,Lahore,2,DNB,-
Babar Azam,v World-XI,Lahore,2,DNB,-
Shoaib Malik,v World-XI,Lahore,2,DNB,-
Sarfaraz Ahmed,v World-XI,Lahore,2,DNB,-
Fakhar Zaman,v World-XI,Lahore,2,DNB,-
Ahmed Shehzad,v World-XI,Lahore,2,DNB,-
Ahmed Shehzad,v World-XI,Lahore,2,DNB,-
Babar Azam,v World-XI,Lahore,2,DNB,-
Shoaib Malik,v World-XI,Lahore,2,DNB,-
Fakhar Zaman,v World-XI,Lahore,2,DNB,-
Sarfaraz Ahmed,v World-XI,Lahore,2,DNB,-
Sarfaraz Ahmed,v Sri Lanka,Abu Dhabi,1,DNB,-
Ahmed Shehzad,v Sri Lanka,Abu Dhabi,1,DNB,-
Babar Azam,v Sri Lanka,Abu Dhabi,1,DNB,-
Shoaib Malik,v Sri Lanka,Abu Dhabi,1,DNB,-
Fakhar Zaman,v Sri Lanka,Abu Dhabi,1,DNB,-
Fakhar Zaman,v Sri Lanka,Abu Dhabi,1,DNB,-
Sarfaraz Ahmed,v Sri Lanka,Abu Dhabi,1,DNB,-
Ahmed Shehzad,v Sri Lanka,Abu Dhabi,1,DNB,-
Babar Azam,v Sri Lanka,Abu Dhabi,1,DNB,-
Shoaib Malik,v Sri Lanka,Abu Dhabi,1,DNB,-
Shoaib Malik,v Sri Lanka,Lahore,2,DNB,-
Babar Azam,v Sri Lanka,Lahore,2,DNB,-
Fakhar Zaman,v Sri Lanka,Lahore,2,DNB,-
Sarfaraz Ahmed,v Sri Lanka,Lahore,2,DNB,-
Umar Amin,v Sri Lanka,Lahore,2,DNB,-
Sarfaraz Ahmed,v New Zealand,Wellington,2,DNB,-
Umar Amin,v New Zealand,Wellington,2,DNB,-
Fakhar Zaman,v New Zealand,Wellington,2,DNB,-
Haris Sohail,v New Zealand,Wellington,2,DNB,-
Babar Azam,v New Zealand,Wellington,2,DNB,-
Babar Azam,v New Zealand,Auckland,2,DNB,-
Sarfaraz Ahmed,v New Zealand,Auckland,2,DNB,-
Ahmed Shehzad,v New Zealand,Auckland,2,DNB,-
Fakhar Zaman,v New Zealand,Auckland,2,DNB,-
Umar Amin,v New Zealand,Auckland,2,DNB,-
Haris Sohail,v New Zealand,Auckland,2,DNB,-
Haris Sohail,v New Zealand,Mount Maunganui,2,DNB,-
Babar Azam,v New Zealand,Mount Maunganui,2,DNB,-
Sarfaraz Ahmed,v New Zealand,Mount Maunganui,2,DNB,-
Ahmed Shehzad,v New Zealand,Mount Maunganui,2,DNB,-
Umar Amin,v New Zealand,Mount Maunganui,2,DNB,-
Fakhar Zaman,v New Zealand,Mount Maunganui,2,DNB,-
Asif Ali,v West Indies,Karachi,2,DNB,-
Fakhar Zaman,v West Indies,Karachi,2,DNB,-
Sarfaraz Ahmed,v West Indies,Karachi,2,DNB,-
Babar Azam,v West Indies,Karachi,2,DNB,-
Asif Ali,v West Indies,Karachi,2,DNB,-
Shoaib Malik,v West Indies,Karachi,2,DNB,-
Fakhar Zaman,v West Indies,Karachi,2,DNB,-
Sarfaraz Ahmed,v West Indies,Karachi,2,DNB,-
Babar Azam,v West Indies,Karachi,2,DNB,-
Asif Ali,v West Indies,Karachi,1,DNB,-
Fakhar Zaman,v West Indies,Karachi,1,DNB,-
Shoaib Malik,v West Indies,Karachi,1,DNB,-
Hussain Talat,v West Indies,Karachi,1,DNB,-
Sarfaraz Ahmed,v West Indies,Karachi,1,DNB,-
Babar Azam,v West Indies,Karachi,1,DNB,-
Asif Ali,v Scotland,Edinburgh,2,DNB,-
Shoaib Malik,v Scotland,Edinburgh,2,DNB,-
Fakhar Zaman,v Scotland,Edinburgh,2,DNB,-
Sarfaraz Ahmed,v Scotland,Edinburgh,2,DNB,-
Ahmed Shehzad,v Scotland,Edinburgh,2,DNB,-
Asif Ali,v Scotland,Edinburgh,2,DNB,-
Fakhar Zaman,v Scotland,Edinburgh,2,DNB,-
Shoaib Malik,v Scotland,Edinburgh,2,DNB,-
Hussain Talat,v Scotland,Edinburgh,2,DNB,-
Sarfaraz Ahmed,v Scotland,Edinburgh,2,DNB,-
Ahmed Shehzad,v Scotland,Edinburgh,2,DNB,-
Sarfaraz Ahmed,v Zimbabwe,Harare,2,DNB,-
Asif Ali,v Zimbabwe,Harare,2,DNB,-
Fakhar Zaman,v Zimbabwe,Harare,2,DNB,-
Shoaib Malik,v Zimbabwe,Harare,2,DNB,-
Faheem Ashraf,v Australia,Harare,2,DNB,-
Sarfaraz Ahmed,v Australia,Harare,2,DNB,-
Asif Ali,v Australia,Harare,2,DNB,-
Fakhar Zaman,v Australia,Harare,2,DNB,-
Shoaib Malik,v Australia,Harare,2,DNB,-
Hussain Talat,v Australia,Harare,2,DNB,-
Mohammad Hafeez,v Australia,Harare,2,DNB,-
Haris Sohail,v Zimbabwe,Harare,1,DNB,-
Asif Ali,v Zimbabwe,Harare,1,DNB,-
Fakhar Zaman,v Zimbabwe,Harare,1,DNB,-
Sarfaraz Ahmed,v Zimbabwe,Harare,1,DNB,-
Sarfaraz Ahmed,v Australia,Harare,2,DNB,-
Haris Sohail,v Australia,Harare,2,DNB,-
Asif Ali,v Australia,Harare,2,DNB,-
Fakhar Zaman,v Australia,Harare,2,DNB,-
Shoaib Malik,v Australia,Harare,2,DNB,-
Hussain Talat,v Australia,Harare,2,DNB,-
Sahibzada Farhan,v Australia,Harare,1,DNB,-
Sarfaraz Ahmed,v Australia,Harare,1,DNB,-
Asif Ali,v Australia,Harare,1,DNB,-
Fakhar Zaman,v Australia,Harare,1,DNB,-
Hussain Talat,v Australia,Harare,1,DNB,-
Shoaib Malik,v Australia,Harare,1,DNB,-
Asif Ali,v Australia,Abu Dhabi,2,DNB,-
Fakhar Zaman,v Australia,Abu Dhabi,2,DNB,-
Sarfaraz Ahmed,v Australia,Abu Dhabi,2,DNB,-
Hussain Talat,v Australia,Abu Dhabi,2,DNB,-
Babar Azam,v Australia,Abu Dhabi,2,DNB,-
Mohammad Hafeez,v Australia,Abu Dhabi,2,DNB,-
Sarfaraz Ahmed,v Australia,Dubai (DSC),2,DNB,-
Babar Azam,v Australia,Dubai (DSC),2,DNB,-
Asif Ali,v Australia,Dubai (DSC),2,DNB,-
Shoaib Malik,v Australia,Dubai (DSC),2,DNB,-
Fakhar Zaman,v Australia,Dubai (DSC),2,DNB,-
Sarfaraz Ahmed,v Australia,Dubai (DSC),2,DNB,-
Babar Azam,v Australia,Dubai (DSC),2,DNB,-
Asif Ali,v Australia,Dubai (DSC),2,DNB,-
Shoaib Malik,v Australia,Dubai (DSC),2,DNB,-
Sahibzada Farhan,v Australia,Dubai (DSC),2,DNB,-
Sarfaraz Ahmed,v New Zealand,Abu Dhabi,2,DNB,-
Babar Azam,v New Zealand,Abu Dhabi,2,DNB,-
Asif Ali,v New Zealand,Abu Dhabi,2,DNB,-
Shoaib Malik,v New Zealand,Abu Dhabi,2,DNB,-
Sahibzada Farhan,v New Zealand,Abu Dhabi,2,DNB,-
Sarfaraz Ahmed,v New Zealand,Dubai (DSC),1,DNB,-
Babar Azam,v New Zealand,Dubai (DSC),1,DNB,-
Asif Ali,v New Zealand,Dubai (DSC),1,DNB,-
Shoaib Malik,v New Zealand,Dubai (DSC),1,DNB,-
Fakhar Zaman,v New Zealand,Dubai (DSC),1,DNB,-
Sarfaraz Ahmed,v New Zealand,Dubai (DSC),2,DNB,-
Babar Azam,v New Zealand,Dubai (DSC),2,DNB,-
Asif Ali,v New Zealand,Dubai (DSC),2,DNB,-
Shoaib Malik,v New Zealand,Dubai (DSC),2,DNB,-
Fakhar Zaman,v New Zealand,Dubai (DSC),2,DNB,-
Mohammad Rizwan,v South Africa,Cape Town,1,DNB,-
Babar Azam,v South Africa,Cape Town,1,DNB,-
Asif Ali,v South Africa,Cape Town,1,DNB,-
Fakhar Zaman,v South Africa,Cape Town,1,DNB,-
Mohammad Rizwan,v South Africa,Johannesburg,1,DNB,-
Babar Azam,v South Africa,Johannesburg,1,DNB,-
Asif Ali,v South Africa,Johannesburg,1,DNB,-
Shoaib Malik,v South Africa,Johannesburg,1,DNB,-
Hussain Talat,v South Africa,Johannesburg,1,DNB,-
Fakhar Zaman,v South Africa,Centurion,2,DNB,-
Hussain Talat,v South Africa,Centurion,2,DNB,-
Mohammad Rizwan,v South Africa,Centurion,2,DNB,-
Babar Azam,v South Africa,Centurion,2,DNB,-
Asif Ali,v South Africa,Centurion,2,DNB,-
Shoaib Malik,v South Africa,Centurion,2,DNB,-
Imam-ul-Haq,v England,Cardiff,2,DNB,-
Sarfaraz Ahmed,v England,Cardiff,2,DNB,-
Haris Sohail,v England,Cardiff,2,DNB,-
Babar Azam,v England,Cardiff,2,DNB,-
Asif Ali,v England,Cardiff,2,DNB,-
Fakhar Zaman,v England,Cardiff,2,DNB,-
Sarfaraz Ahmed,v Sri Lanka,Lahore,1,DNB,-
Asif Ali,v Sri Lanka,Lahore,1,DNB,-
Ahmed Shehzad,v Sri Lanka,Lahore,1,DNB,-
Umar Akmal,v Sri Lanka,Lahore,1,DNB,-
Babar Azam,v Sri Lanka,Lahore,1,DNB,-
Umar Akmal,v Sri Lanka,Lahore,1,DNB,-
Babar Azam,v Sri Lanka,Lahore,1,DNB,-
Asif Ali,v Sri Lanka,Lahore,1,DNB,-
Sarfaraz Ahmed,v Sri Lanka,Lahore,1,DNB,-
Fakhar Zaman,v Sri Lanka,Lahore,1,DNB,-
Ahmed Shehzad,v Sri Lanka,Lahore,1,DNB,-
Babar Azam,v Sri Lanka,Lahore,1,DNB,-
Iftikhar Ahmed,v Sri Lanka,Lahore,1,DNB,-
Asif Ali,v Sri Lanka,Lahore,1,DNB,-
Sarfaraz Ahmed,v Sri Lanka,Lahore,1,DNB,-
Fakhar Zaman,v Sri Lanka,Lahore,1,DNB,-
Haris Sohail,v Sri Lanka,Lahore,1,DNB,-
Shadab Khan,v Australia,Sydney,2,DNB,-
Babar Azam,v Australia,Sydney,2,DNB,-
Wahab Riaz,v Australia,Sydney,2,DNB,-
Imad Wasim,v Australia,Sydney,2,DNB,-
Iftikhar Ahmed,v Australia,Sydney,2,DNB,-
Asif Ali,v Australia,Sydney,2,DNB,-
Haris Sohail,v Australia,Sydney,2,DNB,-
Fakhar Zaman,v Australia,Sydney,2,DNB,-
Mohammad Rizwan,v Australia,Sydney,2,DNB,-
Mohammad Rizwan,v Australia,Canberra,2,DNB,-
Babar Azam,v Australia,Canberra,2,DNB,-
Iftikhar Ahmed,v Australia,Canberra,2,DNB,-
Asif Ali,v Australia,Canberra,2,DNB,-
Haris Sohail,v Australia,Canberra,2,DNB,-
Fakhar Zaman,v Australia,Canberra,2,DNB,-
Khushdil Shah,v Australia,Perth,2,DNB,-
Haris Sohail,v Australia,Perth,2,DNB,-
Shadab Khan,v Australia,Perth,2,DNB,-
Mohammad Rizwan,v Australia,Perth,2,DNB,-
Babar Azam,v Australia,Perth,2,DNB,-
Iftikhar Ahmed,v Australia,Perth,2,DNB,-
Imam-ul-Haq,v Australia,Perth,2,DNB,-
Mohammad Hafeez,v Bangladesh,Lahore,1,DNB,-
Mohammad Rizwan,v Bangladesh,Lahore,1,DNB,-
Babar Azam,v Bangladesh,Lahore,1,DNB,-
Ahsan Ali,v Bangladesh,Lahore,1,DNB,-
Iftikhar Ahmed,v Bangladesh,Lahore,1,DNB,-
Mohammad Hafeez,v Bangladesh,Lahore,1,DNB,-
Mohammad Rizwan,v Bangladesh,Lahore,1,DNB,-
Babar Azam,v Bangladesh,Lahore,1,DNB,-
Ahsan Ali,v Bangladesh,Lahore,1,DNB,-
Mohammad Hafeez,v England,Manchester,1,DNB,-
Fakhar Zaman,v England,Manchester,1,DNB,-
Mohammad Rizwan,v England,Manchester,1,DNB,-
Babar Azam,v England,Manchester,1,DNB,-
Shoaib Malik,v England,Manchester,1,DNB,-
Shoaib Malik,v England,Manchester,2,DNB,-
Mohammad Hafeez,v England,Manchester,2,DNB,-
Fakhar Zaman,v England,Manchester,2,DNB,-
Mohammad Rizwan,v England,Manchester,2,DNB,-
Babar Azam,v England,Manchester,2,DNB,-
Babar Azam,v England,Manchester,2,DNB,-
Shoaib Malik,v England,Manchester,2,DNB,-
Fakhar Zaman,v England,Manchester,2,DNB,-
Mohammad Hafeez,v England,Manchester,2,DNB,-
Sarfaraz Ahmed,v England,Manchester,2,DNB,-
Haider Ali,v England,Manchester,2,DNB,-
Haider Ali,v Zimbabwe,Rawalpindi,1,DNB,-
Fakhar Zaman,v Zimbabwe,Rawalpindi,1,DNB,-
Khushdil Shah,v Zimbabwe,Rawalpindi,1,DNB,-
Mohammad Rizwan,v Zimbabwe,Rawalpindi,1,DNB,-
Babar Azam,v Zimbabwe,Rawalpindi,1,DNB,-
Haider Ali,v Zimbabwe,Rawalpindi,1,DNB,-
Fakhar Zaman,v Zimbabwe,Rawalpindi,1,DNB,-
Mohammad Hafeez,v Zimbabwe,Rawalpindi,1,DNB,-
Khushdil Shah,v Zimbabwe,Rawalpindi,1,DNB,-
Mohammad Rizwan,v Zimbabwe,Rawalpindi,1,DNB,-
Babar Azam,v Zimbabwe,Rawalpindi,1,DNB,-
Fakhar Zaman,v Zimbabwe,Rawalpindi,1,DNB,-
Haider Ali,v Zimbabwe,Rawalpindi,1,DNB,-
Khushdil Shah,v Zimbabwe,Rawalpindi,1,DNB,-
Abdullah Shafique,v Zimbabwe,Rawalpindi,1,DNB,-
Mohammad Rizwan,v Zimbabwe,Rawalpindi,1,DNB,-
Babar Azam,v Zimbabwe,Rawalpindi,1,DNB,-
Haider Ali,v New Zealand,Auckland,2,DNB,-
Khushdil Shah,v New Zealand,Auckland,2,DNB,-
Mohammad Hafeez,v New Zealand,Auckland,2,DNB,-
Abdullah Shafique,v New Zealand,Auckland,2,DNB,-
Mohammad Rizwan,v New Zealand,Auckland,2,DNB,-
Haider Ali,v New Zealand,Hamilton,2,DNB,-
Khushdil Shah,v New Zealand,Hamilton,2,DNB,-
Mohammad Hafeez,v New Zealand,Hamilton,2,DNB,-
Abdullah Shafique,v New Zealand,Hamilton,2,DNB,-
Mohammad Rizwan,v New Zealand,Hamilton,2,DNB,-
Hussain Talat,v New Zealand,Napier,1,DNB,-
Haider Ali,v New Zealand,Napier,1,DNB,-
Khushdil Shah,v New Zealand,Napier,1,DNB,-
Mohammad Hafeez,v New Zealand,Napier,1,DNB,-
Mohammad Rizwan,v New Zealand,Napier,1,DNB,-
Iftikhar Ahmed,v New Zealand,Napier,1,DNB,-
Iftikhar Ahmed,v South Africa,Lahore,2,DNB,-
Haider Ali,v South Africa,Lahore,2,DNB,-
Hussain Talat,v South Africa,Lahore,2,DNB,-
Mohammad Rizwan,v South Africa,Lahore,2,DNB,-
Babar Azam,v South Africa,Lahore,2,DNB,-
Haider Ali,v South Africa,Lahore,2,DNB,-
Hussain Talat,v South Africa,Lahore,2,DNB,-
Mohammad Rizwan,v South Africa,Lahore,2,DNB,-
Babar Azam,v South Africa,Lahore,2,DNB,-
Khushdil Shah,v South Africa,Lahore,2,DNB,-
Haider Ali,v South Africa,Lahore,1,DNB,-
