Player,Opposition,Ground,Inns,Runs
Umar Gul,v Bangladesh,Mirpur,1,DNB
Saeed Ajmal,v Bangladesh,Mirpur,1,DNB
Anwar Ali,v Zimbabwe,Lahore,2,DNB
Wahab Riaz,v Zimbabwe,Lahore,2,DNB
Mohammad Sami,v Zimbabwe,Lahore,2,DNB
Bilawal Bhatti,v Zimbabwe,Lahore,2,DNB
Mohammad Sami,v Zimbabwe,Lahore,2,DNB
Mohammad Rizwan,v Sri Lanka,Colombo (RPS),1,DNB
Imad Wasim,v Sri Lanka,Colombo (RPS),1,DNB
Mohammad Irfan,v Sri Lanka,Colombo (RPS),1,DNB
Sohail Tanvir,v Sri Lanka,Colombo (RPS),1,DNB
Imran Khan (1),v Zimbabwe,Harare,1,DNB
Sohail Tanvir,v Zimbabwe,Harare,1,DNB
Imran Khan (1),v Zimbabwe,Harare,1,DNB
Sohail Tanvir,v Zimbabwe,Harare,1,DNB
Mohammad Irfan,v Zimbabwe,Harare,1,DNB
Wahab Riaz,v England,Dubai (DSC),2,DNB
Mohammad Irfan,v England,Sharjah,2,DNB
Aamer Yamin,v England,Sharjah,2,DNB
Mohammad Amir,v New Zealand,Auckland,1,DNB
Umar Gul,v New Zealand,Hamilton,1,DNB
Mohammad Amir,v New Zealand,Hamilton,1,DNB
Mohammad Irfan,v U.A.E.,Mirpur,2,DNB
Mohammad Sami,v U.A.E.,Mirpur,2,DNB
Mohammad Nawaz (3),v U.A.E.,Mirpur,2,DNB
Shahid Afridi,v U.A.E.,Mirpur,2,DNB
Mohammad Amir,v U.A.E.,Mirpur,2,DNB
Sarfaraz Ahmed,v U.A.E.,Mirpur,2,DNB
Mohammad Amir,v Bangladesh,Mirpur,1,DNB
Mohammad Sami,v Bangladesh,Mirpur,1,DNB
Mohammad Irfan,v Bangladesh,Mirpur,1,DNB
Mohammad Amir,v Sri Lanka,Mirpur,2,DNB
Mohammad Irfan,v Sri Lanka,Mirpur,2,DNB
Shahid Afridi,v Sri Lanka,Mirpur,2,DNB
Wahab Riaz,v Sri Lanka,Mirpur,2,DNB
Mohammad Nawaz (3),v Sri Lanka,Mirpur,2,DNB
Sarfaraz Ahmed,v Bangladesh,Eden Gardens,1,DNB
Wahab Riaz,v Bangladesh,Eden Gardens,1,DNB
Mohammad Irfan,v Bangladesh,Eden Gardens,1,DNB
Mohammad Amir,v Bangladesh,Eden Gardens,1,DNB
Mohammad Irfan,v India,Eden Gardens,1,DNB
Mohammad Amir,v India,Eden Gardens,1,DNB
Wahab Riaz,v India,Eden Gardens,1,DNB
Mohammad Sami,v India,Eden Gardens,1,DNB
Mohammad Irfan,v New Zealand,Mohali,2,DNB
Mohammad Amir,v New Zealand,Mohali,2,DNB
Imad Wasim,v New Zealand,Mohali,2,DNB
Mohammad Sami,v New Zealand,Mohali,2,DNB
Mohammad Amir,v Australia,Mohali,2,DNB
Imad Wasim,v England,Manchester,2,DNB
Wahab Riaz,v England,Manchester,2,DNB
Shoaib Malik,v England,Manchester,2,DNB
Mohammad Amir,v England,Manchester,2,DNB
Sarfaraz Ahmed,v England,Manchester,2,DNB
Sohail Tanvir,v England,Manchester,2,DNB
Hasan Ali,v England,Manchester,2,DNB
Mohammad Rizwan,v England,Manchester,2,DNB
Imad Wasim,v West Indies,Dubai (DSC),2,DNB
Wahab Riaz,v West Indies,Dubai (DSC),2,DNB
Mohammad Nawaz (3),v West Indies,Dubai (DSC),2,DNB
Shoaib Malik,v West Indies,Dubai (DSC),2,DNB
Umar Akmal,v West Indies,Dubai (DSC),2,DNB
Sarfaraz Ahmed,v West Indies,Dubai (DSC),2,DNB
Sohail Tanvir,v West Indies,Dubai (DSC),2,DNB
Hasan Ali,v West Indies,Dubai (DSC),2,DNB
Mohammad Nawaz (3),v West Indies,Dubai (DSC),1,DNB
Sohail Tanvir,v West Indies,Dubai (DSC),1,DNB
Hasan Ali,v West Indies,Dubai (DSC),1,DNB
Imad Wasim,v West Indies,Dubai (DSC),1,DNB
Wahab Riaz,v West Indies,Dubai (DSC),1,DNB
Imad Wasim,v West Indies,Abu Dhabi,2,DNB
Rumman Raees,v West Indies,Abu Dhabi,2,DNB
Mohammad Amir,v West Indies,Abu Dhabi,2,DNB
Sarfaraz Ahmed,v West Indies,Abu Dhabi,2,DNB
Sohail Tanvir,v West Indies,Abu Dhabi,2,DNB
Mohammad Nawaz (3),v West Indies,Abu Dhabi,2,DNB
Umar Akmal,v West Indies,Abu Dhabi,2,DNB
Wahab Riaz,v West Indies,Bridgetown,2,DNB
Shadab Khan,v West Indies,Bridgetown,2,DNB
Sohail Tanvir,v West Indies,Bridgetown,2,DNB
Hasan Ali,v West Indies,Bridgetown,2,DNB
Imad Wasim,v West Indies,Bridgetown,2,DNB
Hasan Ali,v West Indies,Port of Spain,1,DNB
Wahab Riaz,v West Indies,Port of Spain,2,DNB
Hasan Ali,v West Indies,Port of Spain,2,DNB
Rumman Raees,v West Indies,Port of Spain,2,DNB
Imad Wasim,v West Indies,Port of Spain,2,DNB
Shadab Khan,v West Indies,Port of Spain,2,DNB
Fakhar Zaman,v West Indies,Port of Spain,2,DNB
Sohail Khan,v World-XI,Lahore,1,DNB
Hasan Ali,v World-XI,Lahore,1,DNB
Shadab Khan,v World-XI,Lahore,1,DNB
Rumman Raees,v World-XI,Lahore,1,DNB
Usman Shinwari,v World-XI,Lahore,1,DNB
Rumman Raees,v World-XI,Lahore,1,DNB
Shadab Khan,v World-XI,Lahore,1,DNB
Mohammad Nawaz (3),v World-XI,Lahore,1,DNB
Mohammad Nawaz (3),v World-XI,Lahore,1,DNB
Shadab Khan,v World-XI,Lahore,1,DNB
Hasan Ali,v World-XI,Lahore,1,DNB
Rumman Raees,v World-XI,Lahore,1,DNB
Usman Shinwari,v World-XI,Lahore,1,DNB
Sarfaraz Ahmed,v Sri Lanka,Abu Dhabi,2,DNB
Shadab Khan,v Sri Lanka,Abu Dhabi,2,DNB
Hasan Ali,v Sri Lanka,Abu Dhabi,2,DNB
Imad Wasim,v Sri Lanka,Abu Dhabi,2,DNB
Usman Shinwari,v Sri Lanka,Abu Dhabi,2,DNB
Faheem Ashraf,v Sri Lanka,Abu Dhabi,2,DNB
Usman Shinwari,v Sri Lanka,Abu Dhabi,2,DNB
Imad Wasim,v Sri Lanka,Lahore,1,DNB
Hasan Ali,v Sri Lanka,Lahore,1,DNB
Mohammad Amir,v Sri Lanka,Lahore,1,DNB
Sarfaraz Ahmed,v Sri Lanka,Lahore,1,DNB
Shadab Khan,v Sri Lanka,Lahore,1,DNB
Mohammad Hafeez,v Sri Lanka,Lahore,1,DNB
Mohammad Amir,v New Zealand,Auckland,1,DNB
Shadab Khan,v New Zealand,Auckland,1,DNB
Rumman Raees,v New Zealand,Auckland,1,DNB
Haris Sohail,v New Zealand,Auckland,1,DNB
Umar Amin,v New Zealand,Auckland,1,DNB
Mohammad Amir,v New Zealand,Mount Maunganui,1,DNB
Shadab Khan,v New Zealand,Mount Maunganui,1,DNB
Rumman Raees,v New Zealand,Mount Maunganui,1,DNB
Mohammad Nawaz (3),v West Indies,Karachi,1,DNB
Mohammad Amir,v West Indies,Karachi,1,DNB
Hasan Ali,v West Indies,Karachi,1,DNB
Shadab Khan,v West Indies,Karachi,1,DNB
Mohammad Nawaz (3),v West Indies,Karachi,1,DNB
Mohammad Amir,v West Indies,Karachi,1,DNB
Hasan Ali,v West Indies,Karachi,1,DNB
Shadab Khan,v West Indies,Karachi,1,DNB
Sarfaraz Ahmed,v West Indies,Karachi,1,DNB
Faheem Ashraf,v West Indies,Karachi,1,DNB
Shadab Khan,v West Indies,Karachi,2,DNB
Shoaib Malik,v West Indies,Karachi,2,DNB
Faheem Ashraf,v West Indies,Karachi,2,DNB
Mohammad Nawaz (3),v West Indies,Karachi,2,DNB
Shaheen Shah Afridi,v West Indies,Karachi,2,DNB
Sarfaraz Ahmed,v West Indies,Karachi,2,DNB
Usman Shinwari,v West Indies,Karachi,2,DNB
Mohammad Amir,v Scotland,Edinburgh,1,DNB
Shadab Khan,v Scotland,Edinburgh,1,DNB
Faheem Ashraf,v Scotland,Edinburgh,1,DNB
Mohammad Nawaz (3),v Scotland,Edinburgh,1,DNB
Hasan Ali,v Scotland,Edinburgh,1,DNB
Mohammad Nawaz (3),v Scotland,Edinburgh,1,DNB
Hasan Ali,v Scotland,Edinburgh,1,DNB
Usman Shinwari,v Scotland,Edinburgh,1,DNB
Faheem Ashraf,v Zimbabwe,Harare,1,DNB
Shadab Khan,v Zimbabwe,Harare,1,DNB
Hasan Ali,v Zimbabwe,Harare,1,DNB
Usman Shinwari,v Zimbabwe,Harare,1,DNB
Mohammad Nawaz (3),v Zimbabwe,Harare,1,DNB
Faheem Ashraf,v Zimbabwe,Harare,2,DNB
Mohammad Nawaz (3),v Zimbabwe,Harare,2,DNB
Mohammad Amir,v Zimbabwe,Harare,2,DNB
Hasan Ali,v Zimbabwe,Harare,2,DNB
Asif Ali,v Zimbabwe,Harare,2,DNB
Shadab Khan,v Zimbabwe,Harare,2,DNB
Shaheen Shah Afridi,v Australia,Harare,1,DNB
Usman Shinwari,v Australia,Harare,1,DNB
Mohammad Amir,v Australia,Harare,2,DNB
Shadab Khan,v Australia,Harare,2,DNB
Faheem Ashraf,v Australia,Harare,2,DNB
Shaheen Shah Afridi,v Australia,Harare,2,DNB
Hasan Ali,v Australia,Harare,2,DNB
Shaheen Shah Afridi,v Australia,Abu Dhabi,1,DNB
Sarfaraz Ahmed,v Australia,Dubai (DSC),1,DNB
Shaheen Shah Afridi,v Australia,Dubai (DSC),1,DNB
Shadab Khan,v Australia,Dubai (DSC),1,DNB
Shadab Khan,v Australia,Dubai (DSC),1,DNB
Hasan Ali,v Australia,Dubai (DSC),1,DNB
Usman Shinwari,v Australia,Dubai (DSC),1,DNB
Sarfaraz Ahmed,v Australia,Dubai (DSC),1,DNB
Shadab Khan,v New Zealand,Abu Dhabi,1,DNB
Shaheen Shah Afridi,v New Zealand,Abu Dhabi,1,DNB
Hasan Ali,v New Zealand,Abu Dhabi,1,DNB
Imad Wasim,v New Zealand,Dubai (DSC),2,DNB
Shadab Khan,v New Zealand,Dubai (DSC),2,DNB
Faheem Ashraf,v New Zealand,Dubai (DSC),2,DNB
Shaheen Shah Afridi,v New Zealand,Dubai (DSC),2,DNB
Hasan Ali,v New Zealand,Dubai (DSC),2,DNB
Usman Shinwari,v New Zealand,Dubai (DSC),1,DNB
Waqas Maqsood,v New Zealand,Dubai (DSC),1,DNB
Sarfaraz Ahmed,v New Zealand,Dubai (DSC),1,DNB
Shadab Khan,v New Zealand,Dubai (DSC),1,DNB
Faheem Ashraf,v New Zealand,Dubai (DSC),1,DNB
Imad Wasim,v New Zealand,Dubai (DSC),1,DNB
Shaheen Shah Afridi,v South Africa,Johannesburg,2,DNB
Usman Shinwari,v South Africa,Johannesburg,2,DNB
Mohammad Hasnain,v England,Cardiff,1,DNB
Shaheen Shah Afridi,v England,Cardiff,1,DNB
Sarfaraz Ahmed,v England,Cardiff,1,DNB
Usman Shinwari,v Sri Lanka,Lahore,2,DNB
Mohammad Amir,v Sri Lanka,Lahore,2,DNB
Shadab Khan,v Sri Lanka,Lahore,2,DNB
Shadab Khan,v Australia,Sydney,1,DNB
Mohammad Irfan,v Australia,Sydney,1,DNB
Mohammad Amir,v Australia,Sydney,1,DNB
Wahab Riaz,v Australia,Sydney,1,DNB
Shadab Khan,v Australia,Canberra,1,DNB
Mohammad Irfan,v Australia,Canberra,1,DNB
Mohammad Amir,v Australia,Canberra,1,DNB
Muhammad Musa,v Australia,Perth,1,DNB
Mohammad Hasnain,v Bangladesh,Lahore,2,DNB
Shadab Khan,v Bangladesh,Lahore,2,DNB
Haris Rauf,v Bangladesh,Lahore,2,DNB
Shaheen Shah Afridi,v Bangladesh,Lahore,2,DNB
Imad Wasim,v Bangladesh,Lahore,2,DNB
Mohammad Hasnain,v Bangladesh,Lahore,2,DNB
Shoaib Malik,v Bangladesh,Lahore,2,DNB
Shadab Khan,v Bangladesh,Lahore,2,DNB
Mohammad Rizwan,v Bangladesh,Lahore,2,DNB
Haris Rauf,v Bangladesh,Lahore,2,DNB
Shaheen Shah Afridi,v Bangladesh,Lahore,2,DNB
Iftikhar Ahmed,v Bangladesh,Lahore,2,DNB
Fakhar Zaman,v England,Manchester,-,TDNB
Babar Azam,v England,Manchester,-,TDNB
Mohammad Amir,v England,Manchester,-,TDNB
Haris Rauf,v England,Manchester,-,TDNB
Mohammad Hafeez,v England,Manchester,-,TDNB
Shadab Khan,v England,Manchester,-,TDNB
Iftikhar Ahmed,v England,Manchester,-,TDNB
Mohammad Rizwan,v England,Manchester,-,TDNB
Imad Wasim,v England,Manchester,-,TDNB
Shaheen Shah Afridi,v England,Manchester,-,TDNB
Shoaib Malik,v England,Manchester,-,TDNB
Mohammad Amir,v England,Manchester,1,DNB
Haris Rauf,v England,Manchester,1,DNB
Mohammad Rizwan,v England,Manchester,1,DNB
Imad Wasim,v England,Manchester,1,DNB
Shaheen Shah Afridi,v England,Manchester,1,DNB
Shaheen Shah Afridi,v England,Manchester,1,DNB
Sarfaraz Ahmed,v England,Manchester,1,DNB
Wahab Riaz,v England,Manchester,1,DNB
Haris Rauf,v England,Manchester,1,DNB
Shoaib Malik,v England,Manchester,1,DNB
Faheem Ashraf,v Zimbabwe,Rawalpindi,2,DNB
Usman Qadir,v Zimbabwe,Rawalpindi,2,DNB
Haris Rauf,v Zimbabwe,Rawalpindi,2,DNB
Wahab Riaz,v Zimbabwe,Rawalpindi,2,DNB
Mohammad Hasnain,v Zimbabwe,Rawalpindi,2,DNB
Mohammad Rizwan,v Zimbabwe,Rawalpindi,2,DNB
Haris Rauf,v Zimbabwe,Rawalpindi,2,DNB
Mohammad Hafeez,v Zimbabwe,Rawalpindi,2,DNB
Wahab Riaz,v Zimbabwe,Rawalpindi,2,DNB
Mohammad Hasnain,v Zimbabwe,Rawalpindi,2,DNB
Faheem Ashraf,v Zimbabwe,Rawalpindi,2,DNB
Usman Qadir,v Zimbabwe,Rawalpindi,2,DNB
Imad Wasim,v Zimbabwe,Rawalpindi,2,DNB
Muhammad Musa,v Zimbabwe,Rawalpindi,2,DNB
Usman Qadir,v Zimbabwe,Rawalpindi,2,DNB
Mohammad Rizwan,v Zimbabwe,Rawalpindi,2,DNB
Mohammad Hasnain,v Zimbabwe,Rawalpindi,2,DNB
Babar Azam,v Zimbabwe,Rawalpindi,2,DNB
Haris Rauf,v Zimbabwe,Rawalpindi,2,DNB
Wahab Riaz,v New Zealand,Hamilton,1,DNB
Shaheen Shah Afridi,v New Zealand,Hamilton,1,DNB
Haris Rauf,v New Zealand,Hamilton,1,DNB
Mohammad Hasnain,v New Zealand,Napier,2,DNB
Haris Rauf,v New Zealand,Napier,2,DNB
Shaheen Shah Afridi,v New Zealand,Napier,2,DNB
Shaheen Shah Afridi,v South Africa,Lahore,1,DNB
Haris Rauf,v South Africa,Lahore,1,DNB
Usman Qadir,v South Africa,Lahore,1,DNB
Haris Rauf,v South Africa,Lahore,1,DNB
Shaheen Shah Afridi,v South Africa,Lahore,1,DNB
Shaheen Shah Afridi,v South Africa,Lahore,2,DNB
Usman Qadir,v South Africa,Lahore,2,DNB
Zahid Mahmood,v South Africa,Lahore,2,DNB
Shaheen Shah Afridi,v South Africa,Johannesburg,2,DNB
Usman Qadir,v South Africa,Johannesburg,2,DNB
Haris Rauf,v South Africa,Johannesburg,2,DNB
Haider Ali,v South Africa,Centurion,2,DNB
Shaheen Shah Afridi,v South Africa,Centurion,2,DNB
Faheem Ashraf,v South Africa,Centurion,2,DNB
Asif Ali,v South Africa,Centurion,2,DNB
Haris Rauf,v South Africa,Centurion,2,DNB
Mohammad Hafeez,v South Africa,Centurion,2,DNB
Hasan Ali,v South Africa,Centurion,2,DNB
Mohammad Nawaz (3),v South Africa,Centurion,2,DNB
Haris Rauf,v South Africa,Centurion,2,DNB
Shaheen Shah Afridi,v South Africa,Centurion,2,DNB
Haris Rauf,v Zimbabwe,Harare,1,DNB
Mohammad Hasnain,v Zimbabwe,Harare,1,DNB
Usman Qadir,v Zimbabwe,Harare,1,DNB
Haris Rauf,v Zimbabwe,Harare,1,DNB
Sarfaraz Ahmed,v Zimbabwe,Harare,1,DNB
Mohammad Hasnain,v Zimbabwe,Harare,1,DNB
Mohammad Hafeez,v Zimbabwe,Harare,1,DNB
Faheem Ashraf,v Zimbabwe,Harare,1,DNB
Haris Rauf,v England,Nottingham,1,DNB
Shadab Khan,v England,Nottingham,1,DNB
Mohammad Hasnain,v England,Nottingham,1,DNB
Shaheen Shah Afridi,v England,Nottingham,1,DNB
Mohammad Hasnain,v England,Manchester,1,DNB
Shaheen Shah Afridi,v England,Manchester,1,DNB
Usman Qadir,v England,Manchester,1,DNB
Hasan Ali,v West Indies,Bridgetown,-,TDNB
Usman Qadir,v West Indies,Bridgetown,-,TDNB
Mohammad Rizwan,v West Indies,Bridgetown,-,TDNB
Azam Khan,v West Indies,Bridgetown,-,TDNB
Mohammad Hafeez,v West Indies,Bridgetown,-,TDNB
Shadab Khan,v West Indies,Bridgetown,-,TDNB
Fakhar Zaman,v West Indies,Bridgetown,-,TDNB
Babar Azam,v West Indies,Bridgetown,-,TDNB
Mohammad Wasim (1),v West Indies,Bridgetown,-,TDNB
Sharjeel Khan,v West Indies,Bridgetown,-,TDNB
Shaheen Shah Afridi,v West Indies,Bridgetown,-,TDNB
Shaheen Shah Afridi,v West Indies,Providence,1,DNB
Usman Qadir,v West Indies,Providence,1,DNB
Haris Rauf,v West Indies,Providence,-,TDNB
Mohammad Hafeez,v West Indies,Providence,-,TDNB
Hasan Ali,v West Indies,Providence,-,TDNB
Usman Qadir,v West Indies,Providence,-,TDNB
Mohammad Rizwan,v West Indies,Providence,-,TDNB
Mohammad Wasim (1),v West Indies,Providence,-,TDNB
Sohaib Maqsood,v West Indies,Providence,-,TDNB
Shadab Khan,v West Indies,Providence,-,TDNB
Fakhar Zaman,v West Indies,Providence,-,TDNB
Babar Azam,v West Indies,Providence,-,TDNB
Sharjeel Khan,v West Indies,Providence,-,TDNB
Usman Qadir,v West Indies,Providence,-,TDNB
Mohammad Rizwan,v West Indies,Providence,-,TDNB
Mohammad Wasim (1),v West Indies,Providence,-,TDNB
Sohaib Maqsood,v West Indies,Providence,-,TDNB
Shadab Khan,v West Indies,Providence,-,TDNB
Fakhar Zaman,v West Indies,Providence,-,TDNB
Babar Azam,v West Indies,Providence,-,TDNB
Sharjeel Khan,v West Indies,Providence,-,TDNB
Haris Rauf,v West Indies,Providence,-,TDNB
Mohammad Hafeez,v West Indies,Providence,-,TDNB
Hasan Ali,v West Indies,Providence,-,TDNB
Haris Rauf,v India,Dubai (DSC),2,DNB
Mohammad Hafeez,v India,Dubai (DSC),2,DNB
Shadab Khan,v India,Dubai (DSC),2,DNB
Fakhar Zaman,v India,Dubai (DSC),2,DNB
Imad Wasim,v India,Dubai (DSC),2,DNB
Shaheen Shah Afridi,v India,Dubai (DSC),2,DNB
Shoaib Malik,v India,Dubai (DSC),2,DNB
Hasan Ali,v India,Dubai (DSC),2,DNB
Asif Ali,v India,Dubai (DSC),2,DNB
Shadab Khan,v New Zealand,Sharjah,2,DNB
Shaheen Shah Afridi,v New Zealand,Sharjah,2,DNB
Hasan Ali,v New Zealand,Sharjah,2,DNB
Haris Rauf,v New Zealand,Sharjah,2,DNB
Imad Wasim,v Afghanistan,Dubai (DSC),2,DNB
Shaheen Shah Afridi,v Afghanistan,Dubai (DSC),2,DNB
Hasan Ali,v Afghanistan,Dubai (DSC),2,DNB
Haris Rauf,v Afghanistan,Dubai (DSC),2,DNB
Imad Wasim,v Namibia,Abu Dhabi,1,DNB
Shaheen Shah Afridi,v Namibia,Abu Dhabi,1,DNB
Shoaib Malik,v Namibia,Abu Dhabi,1,DNB
Hasan Ali,v Namibia,Abu Dhabi,1,DNB
Asif Ali,v Namibia,Abu Dhabi,1,DNB
Haris Rauf,v Namibia,Abu Dhabi,1,DNB
Shadab Khan,v Namibia,Abu Dhabi,1,DNB
Hasan Ali,v Scotland,Sharjah,1,DNB
Haris Rauf,v Scotland,Sharjah,1,DNB
Shadab Khan,v Scotland,Sharjah,1,DNB
Imad Wasim,v Scotland,Sharjah,1,DNB
Shaheen Shah Afridi,v Scotland,Sharjah,1,DNB
Haris Rauf,v Australia,Dubai (DSC),1,DNB
Shadab Khan,v Australia,Dubai (DSC),1,DNB
Imad Wasim,v Australia,Dubai (DSC),1,DNB
Shaheen Shah Afridi,v Australia,Dubai (DSC),1,DNB
Hasan Ali,v Australia,Dubai (DSC),1,DNB
Haris Rauf,v Bangladesh,Mirpur,2,DNB
Hasan Ali,v Bangladesh,Mirpur,2,DNB
Mohammad Wasim (1),v Bangladesh,Mirpur,2,DNB
Shadab Khan,v Bangladesh,Mirpur,2,DNB
Shoaib Malik,v Bangladesh,Mirpur,2,DNB
Shaheen Shah Afridi,v Bangladesh,Mirpur,2,DNB
Khushdil Shah,v Bangladesh,Mirpur,2,DNB
Mohammad Nawaz (3),v Bangladesh,Mirpur,2,DNB
Mohammad Wasim (1),v Bangladesh,Mirpur,2,DNB
Haris Rauf,v Bangladesh,Mirpur,2,DNB
Mohammad Wasim (1),v Bangladesh,Mirpur,2,DNB
Haris Rauf,v Bangladesh,Mirpur,2,DNB
Shahnawaz Dahani,v Bangladesh,Mirpur,2,DNB
Usman Qadir,v Bangladesh,Mirpur,2,DNB
Shaheen Shah Afridi,v West Indies,Karachi,1,DNB
Mohammad Wasim (1),v West Indies,Karachi,1,DNB
Haris Rauf,v West Indies,Karachi,1,DNB
Shaheen Shah Afridi,v West Indies,Karachi,1,DNB
Mohammad Hasnain,v West Indies,Karachi,2,DNB
Shahnawaz Dahani,v West Indies,Karachi,2,DNB
Haider Ali,v West Indies,Karachi,2,DNB
Shadab Khan,v West Indies,Karachi,2,DNB
Mohammad Nawaz (3),v West Indies,Karachi,2,DNB
Mohammad Wasim (1),v West Indies,Karachi,2,DNB
Haris Rauf,v Australia,Lahore,1,DNB
Asif Ali,v Hong Kong,Sharjah,1,DNB
Mohammad Nawaz (3),v Hong Kong,Sharjah,1,DNB
Haris Rauf,v Hong Kong,Sharjah,1,DNB
Shadab Khan,v Hong Kong,Sharjah,1,DNB
Iftikhar Ahmed,v Hong Kong,Sharjah,1,DNB
Shahnawaz Dahani,v Hong Kong,Sharjah,1,DNB
Naseem Shah,v Hong Kong,Sharjah,1,DNB
Mohammad Hasnain,v India,Dubai (DSC),2,DNB
Shadab Khan,v India,Dubai (DSC),2,DNB
Haris Rauf,v India,Dubai (DSC),2,DNB
Naseem Shah,v India,Dubai (DSC),2,DNB
Shahnawaz Dahani,v England,Karachi,1,DNB
Haris Rauf,v England,Karachi,1,DNB
Usman Qadir,v England,Karachi,2,DNB
Haider Ali,v England,Karachi,2,DNB
Shan Masood,v England,Karachi,2,DNB
Mohammad Hasnain,v England,Karachi,2,DNB
Iftikhar Ahmed,v England,Karachi,2,DNB
Mohammad Nawaz (3),v England,Karachi,2,DNB
Shahnawaz Dahani,v England,Karachi,2,DNB
Haris Rauf,v England,Karachi,2,DNB
Khushdil Shah,v England,Karachi,2,DNB
Shahnawaz Dahani,v England,Karachi,2,DNB
Iftikhar Ahmed,v England,Karachi,1,DNB
Haris Rauf,v England,Karachi,1,DNB
Mohammad Hasnain,v England,Karachi,1,DNB
Mohammad Wasim (1),v England,Karachi,1,DNB
Usman Qadir,v England,Karachi,1,DNB
Aamer Jamal,v England,Lahore,1,DNB
Mohammad Wasim (1),v England,Lahore,1,DNB
Shadab Khan,v England,Lahore,1,DNB
Shahnawaz Dahani,v England,Lahore,1,DNB
Shadab Khan,v England,Lahore,2,DNB
Shadab Khan,v Bangladesh,Christchurch,1,DNB
Mohammad Wasim (1),v Bangladesh,Christchurch,1,DNB
Haris Rauf,v Bangladesh,Christchurch,1,DNB
Shahnawaz Dahani,v Bangladesh,Christchurch,1,DNB
Iftikhar Ahmed,v New Zealand,Christchurch,2,DNB
Mohammad Wasim (1),v New Zealand,Christchurch,2,DNB
Haris Rauf,v New Zealand,Christchurch,2,DNB
Asif Ali,v New Zealand,Christchurch,2,DNB
Shahnawaz Dahani,v New Zealand,Christchurch,2,DNB
Naseem Shah,v New Zealand,Christchurch,1,DNB
Shahnawaz Dahani,v New Zealand,Christchurch,1,DNB
Mohammad Wasim (1),v Bangladesh,Christchurch,2,DNB
Mohammad Hasnain,v Bangladesh,Christchurch,2,DNB
Shadab Khan,v Bangladesh,Christchurch,2,DNB
Iftikhar Ahmed,v Bangladesh,Christchurch,2,DNB
Shan Masood,v Bangladesh,Christchurch,2,DNB
Naseem Shah,v Bangladesh,Christchurch,2,DNB
Mohammad Wasim (1),v New Zealand,Christchurch,2,DNB
Haris Rauf,v New Zealand,Christchurch,2,DNB
Shadab Khan,v New Zealand,Christchurch,2,DNB
Naseem Shah,v New Zealand,Christchurch,2,DNB
Naseem Shah,v India,Melbourne,1,DNB
Naseem Shah,v Zimbabwe,Perth,2,DNB
Haris Rauf,v Zimbabwe,Perth,2,DNB
Haris Rauf,v Netherlands,Perth,2,DNB
Shaheen Shah Afridi,v Netherlands,Perth,2,DNB
Mohammad Nawaz (3),v Netherlands,Perth,2,DNB
Mohammad Wasim (1),v Netherlands,Perth,2,DNB
Naseem Shah,v Netherlands,Perth,2,DNB
Shaheen Shah Afridi,v South Africa,Sydney,1,DNB
Haris Rauf,v Bangladesh,Adelaide,2,DNB
Shaheen Shah Afridi,v Bangladesh,Adelaide,2,DNB
Mohammad Wasim (1),v Bangladesh,Adelaide,2,DNB
Naseem Shah,v Bangladesh,Adelaide,2,DNB
Haris Rauf,v New Zealand,Sydney,2,DNB
Shaheen Shah Afridi,v New Zealand,Sydney,2,DNB
Mohammad Wasim (1),v New Zealand,Sydney,2,DNB
Naseem Shah,v New Zealand,Sydney,2,DNB
Shadab Khan,v New Zealand,Sydney,2,DNB
Mohammad Nawaz (3),v New Zealand,Sydney,2,DNB
Naseem Shah,v England,Melbourne,1,DNB
Zaman Khan,v Afghanistan,Sharjah,1,DNB
Ihsanullah,v Afghanistan,Sharjah,1,DNB
Mohammad Nawaz (3),v Afghanistan,Sharjah,1,DNB
Naseem Shah,v Afghanistan,Sharjah,1,DNB
Zaman Khan,v Afghanistan,Sharjah,1,DNB
Ihsanullah,v Afghanistan,Sharjah,1,DNB
Zaman Khan,v New Zealand,Lahore,1,DNB
Shadab Khan,v New Zealand,Lahore,1,DNB
Haris Rauf,v New Zealand,Lahore,1,DNB
Shaheen Shah Afridi,v New Zealand,Lahore,1,DNB
Faheem Ashraf,v New Zealand,Lahore,1,DNB
Shadab Khan,v New Zealand,Rawalpindi,-,TDNB
Fakhar Zaman,v New Zealand,Rawalpindi,-,TDNB
Babar Azam,v New Zealand,Rawalpindi,-,TDNB
Haris Rauf,v New Zealand,Rawalpindi,-,TDNB
Imad Wasim,v New Zealand,Rawalpindi,-,TDNB
Shaheen Shah Afridi,v New Zealand,Rawalpindi,-,TDNB
Faheem Ashraf,v New Zealand,Rawalpindi,-,TDNB
Iftikhar Ahmed,v New Zealand,Rawalpindi,-,TDNB
Zaman Khan,v New Zealand,Rawalpindi,-,TDNB
Mohammad Rizwan,v New Zealand,Rawalpindi,-,TDNB
Saim Ayub,v New Zealand,Rawalpindi,-,TDNB
Shadab Khan,v New Zealand,Rawalpindi,1,DNB
Ihsanullah,v New Zealand,Rawalpindi,1,DNB
Haris Rauf,v New Zealand,Rawalpindi,1,DNB
Shaheen Shah Afridi,v New Zealand,Rawalpindi,1,DNB
